Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep
0 days 00:35:17.993000,GAS,10,105.008,1.0,1.0,0 days 00:00:07.056000,,False,MEDIUM,1.0,True,Red Bull Racing,2,17.0,False,1,Australian Grand Prix,True,C3,False,15.728,17.616,19.428,22.702,3.57,3.519
0 days 00:36:49.578000,GAS,10,91.585,2.0,1.0,,,True,MEDIUM,2.0,True,Red Bull Racing,1,16.0,True,1,Australian Grand Prix,True,C3,True,2.305,2.582,6.005,7.017,0.085,0.093
0 days 00:38:20.984000,GAS,10,91.406,3.0,1.0,,,True,MEDIUM,3.0,True,Red Bull Racing,1,16.0,True,1,Australian Grand Prix,True,C3,True,2.126,2.381,5.826,6.808,0.206,0.226
0 days 00:39:53.345000,GAS,10,92.361,4.0,1.0,,,False,MEDIUM,4.0,True,Red Bull Racing,1,16.0,True,1,Australian Grand Prix,True,C3,True,3.081,3.451,6.781,7.924,1.413,1.554
0 days 00:41:24.516000,GAS,10,91.171,5.0,1.0,,,True,MEDIUM,5.0,True,Red Bull Racing,1,16.0,True,1,Australian Grand Prix,True,C3,True,1.891,2.118,5.591,6.533,0.347,0.382
0 days 00:42:55.536000,GAS,10,91.02,6.0,1.0,,,True,MEDIUM,6.0,True,Red Bull Racing,1,16.0,True,1,Australian Grand Prix,True,C3,True,1.74,1.949,5.44,6.357,0.069,0.076
0 days 00:44:26.701000,GAS,10,91.165,7.0,1.0,,,False,MEDIUM,7.0,True,Red Bull Racing,1,16.0,True,1,Australian Grand Prix,True,C3,True,1.885,2.111,5.585,6.526,0.264,0.29
0 days 00:45:58.135000,GAS,10,91.434,8.0,1.0,,,False,MEDIUM,8.0,True,Red Bull Racing,1,16.0,True,1,Australian Grand Prix,True,C3,True,2.154,2.413,5.854,6.84,0.672,0.74
0 days 00:47:29.296000,GAS,10,91.161,9.0,1.0,,,False,MEDIUM,9.0,True,Red Bull Racing,1,16.0,True,1,Australian Grand Prix,True,C3,True,1.881,2.107,5.581,6.521,0.191,0.21
0 days 00:49:00.745000,GAS,10,91.449,10.0,1.0,,,False,MEDIUM,10.0,True,Red Bull Racing,1,15.0,True,1,Australian Grand Prix,True,C3,True,2.169,2.429,5.869,6.858,0.603,0.664
0 days 00:50:30.874000,GAS,10,90.129,11.0,1.0,,,True,MEDIUM,11.0,True,Red Bull Racing,1,15.0,True,1,Australian Grand Prix,True,C3,True,0.849,0.951,4.549,5.315,-0.524,-0.578
0 days 00:52:01.371000,GAS,10,90.497,12.0,1.0,,,False,MEDIUM,12.0,True,Red Bull Racing,1,14.0,True,1,Australian Grand Prix,True,C3,True,1.217,1.363,4.917,5.746,-0.356,-0.392
0 days 00:53:32.514000,GAS,10,91.143,13.0,1.0,,,False,MEDIUM,13.0,True,Red Bull Racing,1,12.0,True,1,Australian Grand Prix,True,C3,True,1.863,2.087,5.563,6.5,0.361,0.398
0 days 00:55:02.817000,GAS,10,90.303,14.0,1.0,,,False,MEDIUM,14.0,True,Red Bull Racing,1,10.0,True,1,Australian Grand Prix,True,C3,True,1.023,1.146,4.723,5.519,-0.252,-0.278
0 days 00:56:32.724000,GAS,10,89.907,15.0,1.0,,,True,MEDIUM,15.0,True,Red Bull Racing,1,8.0,True,1,Australian Grand Prix,True,C3,True,0.627,0.702,4.327,5.056,-0.76,-0.838
0 days 00:58:02.293000,GAS,10,89.569,16.0,1.0,,,True,MEDIUM,16.0,True,Red Bull Racing,1,8.0,True,1,Australian Grand Prix,True,C3,True,0.289,0.324,3.989,4.661,-0.142,-0.158
0 days 00:59:32.123000,GAS,10,89.83,17.0,1.0,,,False,MEDIUM,17.0,True,Red Bull Racing,1,8.0,True,1,Australian Grand Prix,True,C3,True,0.55,0.616,4.25,4.966,0.114,0.127
0 days 01:01:02.159000,GAS,10,90.036,18.0,1.0,,,False,MEDIUM,18.0,True,Red Bull Racing,1,8.0,True,1,Australian Grand Prix,True,C3,True,0.756,0.847,4.456,5.207,0.235,0.262
