Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep,FuelAdjLapTime
0 days 01:03:41.564000,VER,1,,1.0,1.0,,,False,SOFT,1.0,True,Red Bull Racing,24,3.0,False,4,Emilia Romagna Grand Prix,True,C4,False,,,,,,,
0 days 01:05:48.155000,VER,1,126.591,2.0,1.0,,,True,SOFT,2.0,True,Red Bull Racing,4,2.0,False,4,Emilia Romagna Grand Prix,True,C4,False,45.481,56.073,47.579,60.217,0.253,0.2,126.643
0 days 01:07:57.461000,VER,1,129.306,3.0,1.0,,,False,SOFT,3.0,True,Red Bull Racing,4,2.0,False,4,Emilia Romagna Grand Prix,True,C4,False,48.196,59.421,50.294,63.654,0.054,0.042,129.411
0 days 01:10:14.609000,VER,1,137.148,4.0,1.0,,,False,SOFT,4.0,True,Red Bull Racing,4,2.0,False,4,Emilia Romagna Grand Prix,True,C4,False,56.038,69.089,58.136,73.579,12.094,9.671,137.305
0 days 01:11:34.569000,VER,1,79.96,5.0,1.0,,,True,SOFT,5.0,True,Red Bull Racing,1,2.0,False,4,Emilia Romagna Grand Prix,True,C4,False,-1.15,-1.418,0.948,1.2,-3.116,-3.751,80.17
0 days 01:12:53.965000,VER,1,79.396,6.0,1.0,,,True,SOFT,6.0,True,Red Bull Racing,1,2.0,True,4,Emilia Romagna Grand Prix,True,C4,True,-1.714,-2.113,0.384,0.486,-2.179,-2.671,79.658
0 days 01:14:13.451000,VER,1,79.486,7.0,1.0,,,False,SOFT,7.0,True,Red Bull Racing,1,2.0,True,4,Emilia Romagna Grand Prix,True,C4,True,-1.624,-2.002,0.474,0.6,-1.927,-2.367,79.8
0 days 01:15:32.826000,VER,1,79.375,8.0,1.0,,,True,SOFT,8.0,True,Red Bull Racing,1,2.0,True,4,Emilia Romagna Grand Prix,True,C4,True,-1.735,-2.139,0.363,0.459,-1.669,-2.059,79.742
0 days 01:16:52.115000,VER,1,79.289,9.0,1.0,,,True,SOFT,9.0,True,Red Bull Racing,1,2.0,True,4,Emilia Romagna Grand Prix,True,C4,True,-1.821,-2.245,0.277,0.351,-1.847,-2.276,79.708
0 days 01:18:11.360000,VER,1,79.245,10.0,1.0,,,True,SOFT,10.0,True,Red Bull Racing,1,2.0,True,4,Emilia Romagna Grand Prix,True,C4,True,-1.865,-2.299,0.233,0.295,-1.773,-2.188,79.716
0 days 01:19:30.598000,VER,1,79.238,11.0,1.0,,,True,SOFT,11.0,True,Red Bull Racing,1,2.0,True,4,Emilia Romagna Grand Prix,True,C4,True,-1.872,-2.308,0.226,0.286,-1.861,-2.295,79.762
0 days 01:20:49.861000,VER,1,79.263,12.0,1.0,,,False,SOFT,12.0,True,Red Bull Racing,1,2.0,True,4,Emilia Romagna Grand Prix,True,C4,True,-1.847,-2.277,0.251,0.318,-1.861,-2.294,79.839
0 days 01:22:09.158000,VER,1,79.297,13.0,1.0,,,False,SOFT,13.0,True,Red Bull Racing,1,2.0,True,4,Emilia Romagna Grand Prix,True,C4,True,-1.813,-2.235,0.285,0.361,-1.798,-2.217,79.926
0 days 01:23:28.312000,VER,1,79.154,14.0,1.0,,,True,SOFT,14.0,True,Red Bull Racing,1,2.0,True,4,Emilia Romagna Grand Prix,True,C4,True,-1.956,-2.412,0.142,0.18,-1.751,-2.164,79.835
0 days 01:24:47.601000,VER,1,79.289,15.0,1.0,,,False,SOFT,15.0,True,Red Bull Racing,1,2.0,True,4,Emilia Romagna Grand Prix,True,C4,True,-1.821,-2.245,0.277,0.351,-1.798,-2.217,80.022
