Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep
0 days 00:47:06.249000,PER,11,,1.0,1.0,,,False,MEDIUM,5.0,False,Red Bull Racing,2.0,2.0,False,4,Azerbaijan Grand Prix,True,C4,False,,,,,,
0 days 00:49:16.287000,PER,11,130.038,2.0,1.0,,,True,MEDIUM,6.0,False,Red Bull Racing,26.0,2.0,False,4,Azerbaijan Grand Prix,True,C4,False,24.63300000000001,23.37,26.42200000000001,25.5,-5.637999999999977,-4.155
0 days 00:51:48.758000,PER,11,,3.0,1.0,,,False,MEDIUM,7.0,False,Red Bull Racing,64.0,2.0,False,4,Azerbaijan Grand Prix,True,C4,False,,,,,,
0 days 00:54:39.425000,PER,11,,4.0,1.0,,,False,MEDIUM,8.0,False,Red Bull Racing,4.0,2.0,False,4,Azerbaijan Grand Prix,True,C4,False,,,,,,
0 days 00:57:43.089000,PER,11,,5.0,1.0,,,False,MEDIUM,9.0,False,Red Bull Racing,4.0,2.0,False,4,Azerbaijan Grand Prix,True,C4,False,,,,,,
0 days 00:59:28.343000,PER,11,105.254,6.0,1.0,,,True,MEDIUM,10.0,False,Red Bull Racing,1.0,2.0,False,4,Azerbaijan Grand Prix,True,C4,False,-0.15099999999999625,-0.143,1.6380000000000052,1.581,-4.693999999999988,-4.269
0 days 01:01:12.831000,PER,11,104.488,7.0,1.0,,,True,MEDIUM,11.0,False,Red Bull Racing,1.0,2.0,True,4,Azerbaijan Grand Prix,True,C4,True,-0.9170000000000016,-0.87,0.8719999999999999,0.842,-1.8359999999999985,-1.727
0 days 01:02:57.503000,PER,11,104.672,8.0,1.0,,,False,MEDIUM,12.0,False,Red Bull Racing,1.0,1.0,True,4,Azerbaijan Grand Prix,True,C4,True,-0.7330000000000041,-0.695,1.0559999999999974,1.019,-0.6970000000000027,-0.661
0 days 01:04:41.435000,PER,11,103.932,9.0,1.0,,,True,MEDIUM,13.0,False,Red Bull Racing,1.0,1.0,True,4,Azerbaijan Grand Prix,True,C4,True,-1.472999999999999,-1.397,0.3160000000000025,0.305,-1.465999999999994,-1.391
0 days 01:06:25.204000,PER,11,103.769,10.0,1.0,,,True,MEDIUM,14.0,False,Red Bull Racing,1.0,1.0,True,4,Azerbaijan Grand Prix,True,C4,True,-1.6359999999999957,-1.552,0.1530000000000058,0.148,-1.1550000000000011,-1.101
