Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,RoundNumber,EventName,IsSlick,CompoundName,IsValid,DeltaToRep,PctFromRep,DeltaToFastest,PctFromFastest,DeltaToLapRep,PctFromLapRep
0 days 01:04:15.961000,VER,1,99.019,1.0,1.0,0 days 00:21:57.509000,,False,SOFT,4.0,False,Red Bull Racing,2.0,1.0,False,1,Bahrain Grand Prix,True,C3,False,0.7040000000000077,0.716,5.02300000000001,5.344,-6.646999999999991,-6.291
0 days 01:05:53.935000,VER,1,97.974,2.0,1.0,,,True,SOFT,5.0,False,Red Bull Racing,2.0,1.0,True,1,Bahrain Grand Prix,True,C3,False,-0.340999999999994,-0.347,3.9780000000000086,4.232,-2.444999999999993,-2.435
0 days 01:07:31.941000,VER,1,98.006,3.0,1.0,,,False,SOFT,6.0,False,Red Bull Racing,1.0,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.3089999999999975,-0.314,4.010000000000005,4.266,-1.8559999999999945,-1.859
0 days 01:09:09.917000,VER,1,97.976,4.0,1.0,,,False,SOFT,7.0,False,Red Bull Racing,1.0,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.33899999999999864,-0.345,3.980000000000004,4.234,-1.8160000000000025,-1.82
0 days 01:10:47.952000,VER,1,98.035,5.0,1.0,,,False,SOFT,8.0,False,Red Bull Racing,1.0,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.28000000000000114,-0.285,4.0390000000000015,4.297,-2.5829999999999984,-2.567
0 days 01:12:25.938000,VER,1,97.986,6.0,1.0,,,False,SOFT,9.0,False,Red Bull Racing,1.0,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.3289999999999935,-0.335,3.990000000000009,4.245,-2.5519999999999925,-2.538
0 days 01:14:03.959000,VER,1,98.021,7.0,1.0,,,False,SOFT,10.0,False,Red Bull Racing,1.0,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.29399999999999693,-0.299,4.025000000000006,4.282,-2.584000000000003,-2.568
0 days 01:15:42.113000,VER,1,98.154,8.0,1.0,,,False,SOFT,11.0,False,Red Bull Racing,1.0,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.16100000000000136,-0.164,4.158000000000001,4.424,-2.549999999999997,-2.532
0 days 01:17:20.391000,VER,1,98.278,9.0,1.0,,,False,SOFT,12.0,False,Red Bull Racing,1.0,1.0,True,1,Bahrain Grand Prix,True,C3,True,-0.03699999999999193,-0.038,4.282000000000011,4.556,-2.5459999999999923,-2.525
0 days 01:18:58.760000,VER,1,98.369,10.0,1.0,,,False,SOFT,13.0,False,Red Bull Racing,1.0,1.0,True,1,Bahrain Grand Prix,True,C3,True,0.054000000000002046,0.055,4.373000000000005,4.652,-2.6189999999999998,-2.593
0 days 01:20:37.243000,VER,1,98.483,11.0,1.0,,,False,SOFT,14.0,False,Red Bull Racing,1.0,1.0,True,1,Bahrain Grand Prix,True,C3,True,0.16800000000000637,0.171,4.487000000000009,4.774,-2.766999999999996,-2.733
